question_id,question,answer,contexts,ground_truth,evolution_type,faithfulness,answer_relevancy,context_precision,context_recall,avg_score
11,What does the policy say about card activation?,"Based on the retrieved policy, Cards can be activated in the mobile app after OTP verification.",Policy chunk: Cards can be activated in the mobile app after OTP verification.,Cards can be activated in the mobile app after OTP verification.,simple,0.865,0.904,0.81,0.856,0.859
12,What does the policy say about loan eligibility?,"Based on the retrieved policy, Loan eligibility depends on income, credit score, debt ratio, and document completeness.","Policy chunk: Loan eligibility depends on income, credit score, debt ratio, and document completeness.","Loan eligibility depends on income, credit score, debt ratio, and document completeness.",simple,0.88,0.868,0.77,0.796,0.829
13,What does the policy say about interest calculation?,"Based on the retrieved policy, Interest is calculated on outstanding principal and posted monthly.",Policy chunk: Interest is calculated on outstanding principal and posted monthly.,Interest is calculated on outstanding principal and posted monthly.,simple,0.895,0.88,0.79,0.808,0.843
14,What does the policy say about fraud reporting?,"Based on the retrieved policy, Suspicious card activity must be reported immediately through hotline or app lock.",Policy chunk: Suspicious card activity must be reported immediately through hotline or app lock.,Suspicious card activity must be reported immediately through hotline or app lock.,simple,0.91,0.892,0.81,0.82,0.858
15,What does the policy say about early repayment?,"Based on the retrieved policy, Early repayment is allowed after the first billing cycle and may include a fee.",Policy chunk: Early repayment is allowed after the first billing cycle and may include a fee.,Early repayment is allowed after the first billing cycle and may include a fee.,simple,0.85,0.904,0.77,0.832,0.839
16,What does the policy say about card activation?,"Based on the retrieved policy, Cards can be activated in the mobile app after OTP verification.",Policy chunk: Cards can be activated in the mobile app after OTP verification.,Cards can be activated in the mobile app after OTP verification.,simple,0.865,0.868,0.79,0.844,0.842
17,What does the policy say about loan eligibility?,"Based on the retrieved policy, Loan eligibility depends on income, credit score, debt ratio, and document completeness.","Policy chunk: Loan eligibility depends on income, credit score, debt ratio, and document completeness.","Loan eligibility depends on income, credit score, debt ratio, and document completeness.",simple,0.88,0.88,0.81,0.856,0.857
18,What does the policy say about interest calculation?,"Based on the retrieved policy, Interest is calculated on outstanding principal and posted monthly.",Policy chunk: Interest is calculated on outstanding principal and posted monthly.,Interest is calculated on outstanding principal and posted monthly.,simple,0.895,0.892,0.77,0.796,0.838
19,What does the policy say about fraud reporting?,"Based on the retrieved policy, Suspicious card activity must be reported immediately through hotline or app lock.",Policy chunk: Suspicious card activity must be reported immediately through hotline or app lock.,Suspicious card activity must be reported immediately through hotline or app lock.,simple,0.91,0.904,0.79,0.808,0.853
20,What does the policy say about early repayment?,"Based on the retrieved policy, Early repayment is allowed after the first billing cycle and may include a fee.",Policy chunk: Early repayment is allowed after the first billing cycle and may include a fee.,Early repayment is allowed after the first billing cycle and may include a fee.,simple,0.85,0.868,0.81,0.82,0.837
21,What does the policy say about card activation?,"Based on the retrieved policy, Cards can be activated in the mobile app after OTP verification.",Policy chunk: Cards can be activated in the mobile app after OTP verification.,Cards can be activated in the mobile app after OTP verification.,simple,0.865,0.88,0.77,0.832,0.837
22,What does the policy say about loan eligibility?,"Based on the retrieved policy, Loan eligibility depends on income, credit score, debt ratio, and document completeness.","Policy chunk: Loan eligibility depends on income, credit score, debt ratio, and document completeness.","Loan eligibility depends on income, credit score, debt ratio, and document completeness.",simple,0.88,0.892,0.79,0.844,0.852
23,What does the policy say about interest calculation?,"Based on the retrieved policy, Interest is calculated on outstanding principal and posted monthly.",Policy chunk: Interest is calculated on outstanding principal and posted monthly.,Interest is calculated on outstanding principal and posted monthly.,simple,0.895,0.904,0.81,0.856,0.866
24,What does the policy say about fraud reporting?,"Based on the retrieved policy, Suspicious card activity must be reported immediately through hotline or app lock.",Policy chunk: Suspicious card activity must be reported immediately through hotline or app lock.,Suspicious card activity must be reported immediately through hotline or app lock.,simple,0.91,0.868,0.77,0.796,0.836
25,What does the policy say about early repayment?,"Based on the retrieved policy, Early repayment is allowed after the first billing cycle and may include a fee.",Policy chunk: Early repayment is allowed after the first billing cycle and may include a fee.,Early repayment is allowed after the first billing cycle and may include a fee.,simple,0.85,0.88,0.79,0.808,0.832
26,"Given income and debt checks, why might application 1 be rejected?","Based on the retrieved policy, The application can be rejected when debt ratio is high or required documents are missing.",Loan policy chunk: debt ratio and document completeness are required approval conditions.,The application can be rejected when debt ratio is high or required documents are missing.,reasoning,0.765,0.792,0.71,0.72,0.747
27,"Given income and debt checks, why might application 2 be rejected?","Based on the retrieved policy, The application can be rejected when debt ratio is high or required documents are missing.",Loan policy chunk: debt ratio and document completeness are required approval conditions.,The application can be rejected when debt ratio is high or required documents are missing.,reasoning,0.78,0.804,0.67,0.732,0.747
28,"Given income and debt checks, why might application 3 be rejected?","Based on the retrieved policy, The application can be rejected when debt ratio is high or required documents are missing.",Loan policy chunk: debt ratio and document completeness are required approval conditions.,The application can be rejected when debt ratio is high or required documents are missing.,reasoning,0.795,0.768,0.69,0.744,0.749
29,"Given income and debt checks, why might application 4 be rejected?","Based on the retrieved policy, The application can be rejected when debt ratio is high or required documents are missing.",Loan policy chunk: debt ratio and document completeness are required approval conditions.,The application can be rejected when debt ratio is high or required documents are missing.,reasoning,0.63,0.66,0.53,0.606,0.607
30,"Given income and debt checks, why might application 5 be rejected?","Based on the retrieved policy, The application can be rejected when debt ratio is high or required documents are missing.",Loan policy chunk: debt ratio and document completeness are required approval conditions.,The application can be rejected when debt ratio is high or required documents are missing.,reasoning,0.75,0.792,0.67,0.696,0.727
31,"Given income and debt checks, why might application 6 be rejected?","Based on the retrieved policy, The application can be rejected when debt ratio is high or required documents are missing.",Loan policy chunk: debt ratio and document completeness are required approval conditions.,The application can be rejected when debt ratio is high or required documents are missing.,reasoning,0.585,0.684,0.51,0.558,0.584
32,"Given income and debt checks, why might application 7 be rejected?","Based on the retrieved policy, The application can be rejected when debt ratio is high or required documents are missing.",Loan policy chunk: debt ratio and document completeness are required approval conditions.,The application can be rejected when debt ratio is high or required documents are missing.,reasoning,0.78,0.768,0.71,0.72,0.744
33,"Given income and debt checks, why might application 8 be rejected?","Based on the retrieved policy, The application can be rejected when debt ratio is high or required documents are missing.",Loan policy chunk: debt ratio and document completeness are required approval conditions.,The application can be rejected when debt ratio is high or required documents are missing.,reasoning,0.615,0.66,0.49,0.582,0.587
34,"Given income and debt checks, why might application 9 be rejected?","Based on the retrieved policy, The application can be rejected when debt ratio is high or required documents are missing.",Loan policy chunk: debt ratio and document completeness are required approval conditions.,The application can be rejected when debt ratio is high or required documents are missing.,reasoning,0.81,0.792,0.69,0.744,0.759
35,"Given income and debt checks, why might application 10 be rejected?","Based on the retrieved policy, The application can be rejected when debt ratio is high or required documents are missing.",Loan policy chunk: debt ratio and document completeness are required approval conditions.,The application can be rejected when debt ratio is high or required documents are missing.,reasoning,0.75,0.804,0.71,0.756,0.755
36,"Given income and debt checks, why might application 11 be rejected?","Based on the retrieved policy, The application can be rejected when debt ratio is high or required documents are missing.",Loan policy chunk: debt ratio and document completeness are required approval conditions.,The application can be rejected when debt ratio is high or required documents are missing.,reasoning,0.765,0.768,0.67,0.696,0.725
37,"Given income and debt checks, why might application 12 be rejected?","Based on the retrieved policy, The application can be rejected when debt ratio is high or required documents are missing.",Loan policy chunk: debt ratio and document completeness are required approval conditions.,The application can be rejected when debt ratio is high or required documents are missing.,reasoning,0.78,0.78,0.69,0.708,0.74
38,"Given income and debt checks, why might application 13 be rejected?","Based on the retrieved policy, The application can be rejected when debt ratio is high or required documents are missing.",Loan policy chunk: debt ratio and document completeness are required approval conditions.,The application can be rejected when debt ratio is high or required documents are missing.,reasoning,0.795,0.792,0.71,0.72,0.754
39,How should support combine card safety and customer notification steps for incident 1?,"Based on the retrieved policy, Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",multi_context,0.57,0.624,0.43,0.522,0.536
40,How should support combine card safety and customer notification steps for incident 2?,"Based on the retrieved policy, Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",multi_context,0.69,0.708,0.63,0.684,0.678
41,How should support combine card safety and customer notification steps for incident 3?,"Based on the retrieved policy, Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",multi_context,0.525,0.6,0.47,0.546,0.535
42,How should support combine card safety and customer notification steps for incident 4?,"Based on the retrieved policy, Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",multi_context,0.72,0.732,0.61,0.636,0.674
43,How should support combine card safety and customer notification steps for incident 5?,"Based on the retrieved policy, Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",multi_context,0.555,0.624,0.45,0.498,0.532
44,How should support combine card safety and customer notification steps for incident 6?,"Based on the retrieved policy, Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",multi_context,0.75,0.708,0.65,0.66,0.692
45,How should support combine card safety and customer notification steps for incident 7?,"Based on the retrieved policy, Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",multi_context,0.51,0.6,0.43,0.522,0.515
46,How should support combine card safety and customer notification steps for incident 8?,"Based on the retrieved policy, Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",multi_context,0.705,0.732,0.63,0.684,0.688
47,How should support combine card safety and customer notification steps for incident 9?,"Based on the retrieved policy, Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",multi_context,0.54,0.624,0.47,0.546,0.545
48,How should support combine card safety and customer notification steps for incident 10?,"Based on the retrieved policy, Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",multi_context,0.735,0.708,0.61,0.636,0.672
49,How should support combine card safety and customer notification steps for incident 11?,"Based on the retrieved policy, Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",multi_context,0.57,0.6,0.45,0.498,0.529
50,How should support combine card safety and customer notification steps for incident 12?,"Based on the retrieved policy, Support should lock the card, verify identity, create a fraud case, and notify the customer.",Card security chunk: lock the card. Customer operations chunk: verify identity and notify customer.,"Support should lock the card, verify identity, create a fraud case, and notify the customer.",multi_context,0.51,0.612,0.47,0.51,0.525
