question_id,question,answer_a,answer_b,run1_winner,run1_reason,run2_winner,run2_reason,winner_after_swap
18,What does the policy say about interest calculation?,Interest is calculated on outstanding principal and posted monthly. The response cites the relevant policy section.,Interest is calculated on outstanding principal and posted monthly. Additional unrelated details are included.,A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
19,What does the policy say about fraud reporting?,Suspicious card activity must be reported immediately through hotline or app lock. The response cites the relevant policy section.,Suspicious card activity must be reported immediately through hotline or app lock. Additional unrelated details are included.,A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
20,What does the policy say about early repayment?,Early repayment is allowed after the first billing cycle and may include a fee. The response cites the relevant policy section.,"The customer should contact support, but the exact policy condition is not specified.",tie,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,tie
21,What does the policy say about card activation?,Cards can be activated in the mobile app after OTP verification. The response cites the relevant policy section.,Cards can be activated in the mobile app after OTP verification. Additional unrelated details are included.,A,Answer A is more grounded in retrieved policy.,tie,Swap check preserved the same content preference or produced tie.,tie
22,What does the policy say about loan eligibility?,"Loan eligibility depends on income, credit score, debt ratio, and document completeness. The response cites the relevant policy section.","Loan eligibility depends on income, credit score, debt ratio, and document completeness. Additional unrelated details are included.",A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
23,What does the policy say about interest calculation?,Interest is calculated on outstanding principal and posted monthly. The response cites the relevant policy section.,Interest is calculated on outstanding principal and posted monthly. Additional unrelated details are included.,A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
24,What does the policy say about fraud reporting?,Suspicious card activity must be reported immediately through hotline or app lock. The response cites the relevant policy section.,"The customer should contact support, but the exact policy condition is not specified.",A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
25,What does the policy say about early repayment?,Early repayment is allowed after the first billing cycle and may include a fee. The response cites the relevant policy section.,Early repayment is allowed after the first billing cycle and may include a fee. Additional unrelated details are included.,tie,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,tie
26,"Given income and debt checks, why might application 1 be rejected?",The application can be rejected when debt ratio is high or required documents are missing. The response cites the relevant policy section.,The application can be rejected when debt ratio is high or required documents are missing. Additional unrelated details are included.,A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
27,"Given income and debt checks, why might application 2 be rejected?",The application can be rejected when debt ratio is high or required documents are missing. The response cites the relevant policy section.,The application can be rejected when debt ratio is high or required documents are missing. Additional unrelated details are included.,A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
28,"Given income and debt checks, why might application 3 be rejected?",The application can be rejected when debt ratio is high or required documents are missing. The response cites the relevant policy section.,"The customer should contact support, but the exact policy condition is not specified.",A,Answer A is more grounded in retrieved policy.,tie,Swap check preserved the same content preference or produced tie.,tie
29,"Given income and debt checks, why might application 4 be rejected?",The application can be rejected when debt ratio is high or required documents are missing. The response cites the relevant policy section.,The application can be rejected when debt ratio is high or required documents are missing. Additional unrelated details are included.,A,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,A
30,"Given income and debt checks, why might application 5 be rejected?",The application can be rejected when debt ratio is high or required documents are missing. The response cites the relevant policy section.,The application can be rejected when debt ratio is high or required documents are missing. Additional unrelated details are included.,tie,Answer A is more grounded in retrieved policy.,A,Swap check preserved the same content preference or produced tie.,tie
